what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1677219046608
java.specification.version,sysinfo,,,"1.7",1677219046608
java.vendor,sysinfo,,,"Oracle Corporation",1677219046608
java.version,sysinfo,,,"1.7.0_51",1677219046608
java.vm.info,sysinfo,,,"mixed mode",1677219046608
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1677219046608
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1677219046608
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1677219046608
java.vm.specification.version,sysinfo,,,"1.7",1677219046608
java.vm.vendor,sysinfo,,,"Oracle Corporation",1677219046608
java.vm.version,sysinfo,,,"24.51-b03",1677219046608
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1677219047558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677219049690
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1677219051578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677219054626
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1677219060879
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1677219060962
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1677219064399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677219077322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677219095764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677219128706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677219130479
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1677219131956
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1677219132026
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1677219136572
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1677219138801
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1677219138811
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1677219138813
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1677219138814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677219139177
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1677219139274
